region_id,crop_id,date,price_inr_per_kg,market_name
telangana_medak,rice,2024-01-01,19.57,Medak APMC
telangana_medak,rice,2024-02-01,29.36,Medak APMC
telangana_medak,rice,2024-03-01,18.02,Medak APMC
telangana_medak,rice,2024-04-01,22.58,Medak APMC
telangana_medak,rice,2024-05-01,27.58,Medak APMC
telangana_medak,rice,2024-06-01,18.27,Medak APMC
telangana_medak,rice,2024-07-01,20.08,Medak APMC
telangana_medak,rice,2024-08-01,20.58,Medak APMC
telangana_medak,rice,2024-09-01,28.64,Medak APMC
telangana_medak,rice,2024-10-01,26.81,Medak APMC
telangana_medak,rice,2024-11-01,24.41,Medak APMC
telangana_medak,rice,2024-12-01,29.23,Medak APMC
telangana_medak,rice,2025-01-01,25.87,Medak APMC
telangana_medak,rice,2025-02-01,27.05,Medak APMC
telangana_medak,rice,2025-03-01,20.5,Medak APMC
telangana_medak,rice,2025-04-01,21.6,Medak APMC
telangana_medak,rice,2025-05-01,22.36,Medak APMC
telangana_medak,rice,2025-06-01,29.35,Medak APMC
telangana_medak,rice,2025-07-01,18.19,Medak APMC
telangana_medak,rice,2025-08-01,27.1,Medak APMC
telangana_medak,rice,2025-09-01,23.8,Medak APMC
telangana_medak,rice,2025-10-01,20.73,Medak APMC
telangana_medak,rice,2025-11-01,25.31,Medak APMC
telangana_medak,rice,2025-12-01,21.31,Medak APMC
telangana_medak,wheat,2024-01-01,29.17,Medak APMC
telangana_medak,wheat,2024-02-01,22.07,Medak APMC
telangana_medak,wheat,2024-03-01,26.82,Medak APMC
telangana_medak,wheat,2024-04-01,28.62,Medak APMC
telangana_medak,wheat,2024-05-01,20.05,Medak APMC
telangana_medak,wheat,2024-06-01,27.82,Medak APMC
telangana_medak,wheat,2024-07-01,26.32,Medak APMC
telangana_medak,wheat,2024-08-01,27.22,Medak APMC
telangana_medak,wheat,2024-09-01,24.04,Medak APMC
telangana_medak,wheat,2024-10-01,28.33,Medak APMC
telangana_medak,wheat,2024-11-01,23.44,Medak APMC
telangana_medak,wheat,2024-12-01,28.84,Medak APMC
telangana_medak,wheat,2025-01-01,28.66,Medak APMC
telangana_medak,wheat,2025-02-01,22.9,Medak APMC
telangana_medak,wheat,2025-03-01,23.37,Medak APMC
telangana_medak,wheat,2025-04-01,21.99,Medak APMC
telangana_medak,wheat,2025-05-01,22.06,Medak APMC
telangana_medak,wheat,2025-06-01,23.49,Medak APMC
telangana_medak,wheat,2025-07-01,25.66,Medak APMC
telangana_medak,wheat,2025-08-01,24.24,Medak APMC
telangana_medak,wheat,2025-09-01,23.59,Medak APMC
telangana_medak,wheat,2025-10-01,28.8,Medak APMC
telangana_medak,wheat,2025-11-01,21.28,Medak APMC
telangana_medak,wheat,2025-12-01,22.23,Medak APMC
telangana_medak,maize,2024-01-01,22.26,Medak APMC
telangana_medak,maize,2024-02-01,25.95,Medak APMC
telangana_medak,maize,2024-03-01,18.02,Medak APMC
telangana_medak,maize,2024-04-01,25.2,Medak APMC
telangana_medak,maize,2024-05-01,20.16,Medak APMC
